talemaade_udtryk,predicted_label,true_label,error_category,predicted_definition,true_definition,Discrepancy,yes_count,yes_options,A_response,B_response,C_response,D_response
satse alt på ét kort,0,2,concrete misinterpretation,satse alle sine penge på ét kort,satse alt på én gang,DISCREPANCY,0,,0,0,0,0
guds ord fra landet,0,2,concrete misinterpretation,religiøse udtryk der er populære i landområder,uerfaren og naiv ung pige,DISCREPANCY,0,,0,0,0,0
feje af bordet,0,2,abstract misinterpretation,tage alle stik hjem i kortspil,forkaste; afvise,DISCREPANCY,0,,0,0,0,0
"når nøden er størst, er hjælpen nærmest",0,1,concrete misinterpretation,når man har voldsomt brug for hjælp er den tæt på at ankomme,"når alting ser værst ud, er det lige før det begynder at blive bedre",DISCREPANCY,1,A,1,0,0,0
levende lig,0,3,random definition,være føjelig og give nogen ret selvom man ikke nødvendigvis er enig,person der har det meget dårligt fysisk og psykisk,DISCREPANCY,0,,0,0,0,0
med mand og mus,0,3,random definition,protestere (hvis det havde været muligt) mod forhold i nutiden som strider mod den pågældendes vilje eller holdninger,bruges for at udtrykke at ingen overlever et skibsforlis,DISCREPANCY,0,,0,0,0,0
have en kage i ovnen,0,1,concrete misinterpretation,være ved at bage en kage,være gravid; vente barn,DISCREPANCY,2,"A,B",1,1,0,0
gå til makronerne,0,1,abstract misinterpretation,"spise søde sager, fx chokolade eller kager",gå energisk i gang med noget og arbejde ihærdigt med det,DISCREPANCY,0,,0,0,0,0
sådan spiller klaveret ikke,0,3,concrete misinterpretation,dette er en fejlagtig måde at spille klaverstemmen på,"det er forkert, umuligt eller uacceptabelt; sådan hænger tingene ikke sammen",DISCREPANCY,3,"A,C,D",1,0,1,1
med åben mund og polypper,0,2,concrete misinterpretation,med ansigtet sådan at munden er åben og polypper i næsen kan skimtes,med et meget forbavset udtryk i ansigtet,DISCREPANCY,0,,0,0,0,0
puste i nakken,2,0,concrete misinterpretation,"stå så tæt på en anden person at den luft man udånder, rammer vedkommende i nakken",overvåge; kontrollere,DISCREPANCY,1,C,0,0,1,0
trække noget ned over hovedet på nogen,2,3,concrete misinterpretation,trække noget (typisk af stof) ned over nogens hoved,gennemføre noget mod nogens vilje eller uden at spørge den eller de implicerede; gennemtvinge noget,DISCREPANCY,2,"C,D",0,0,1,1
så er det bal forbi,2,3,abstract misinterpretation,bruges som kommentar når man er færdig med at spise et stort måltid mad,så er det slut (med at more sig),DISCREPANCY,1,C,0,0,1,0
dreje 180 grader,2,3,concrete misinterpretation,dreje en halv omgang,ændre til det modsatte eller til noget helt andet,DISCREPANCY,2,"C,D",0,0,1,1
høre en lille fugl synge om noget,0,1,concrete misinterpretation,høre en (lille) fugl kvidre på en måde så det minder om tale eller sang,høre et rygte om noget,DISCREPANCY,2,"A,C",1,0,1,0
ikke have noget liv,0,2,concrete misinterpretation,være død; ikke længere være i live,aldrig mødes med andre mennesker i selskabeligt lag; være socialt udstødt,DISCREPANCY,0,,0,0,0,0
skrive noget på nogens konto,0,2,concrete misinterpretation,notere en udgift til senere betaling,give nogen skylden eller lade nogen tage ansvaret for noget,DISCREPANCY,2,"A,C",1,0,1,0
stiv time,0,1,concrete misinterpretation,præcis 60 minutter,time betragtet som et langt (og krævende eller ubehageligt) tidsrum,DISCREPANCY,0,,0,0,0,0
havkat i hyttefadet,3,0,random definition,"der er rigeligt, og der bliver ikke sparet på noget",menneske der ved nytænkning eller utraditionel væremåde skaber røre omkring sig,DISCREPANCY,1,D,0,0,0,1
lade fem og syv være lige,0,3,concrete misinterpretation,have et talsystem hvor fem og syv repræsenterer samme værdi,udvise ligegyldighed eller skødesløshed,DISCREPANCY,0,,0,0,0,0
have ti tommelfingre,3,2,abstract misinterpretation,være god til at arbejde med hænderne; være dygtig til håndarbejde,være meget klodset; være fummelfingret,DISCREPANCY,1,D,0,0,0,1
"livet er kort, kunsten er lang",3,2,concrete misinterpretation,kunst varer længere tid end en enkelt persons liv,man kan blive udødeliggjort gennem kunsten,DISCREPANCY,1,D,0,0,0,1
den blå luft,0,1,abstract misinterpretation,indåndingsluft der har passeret gennem et rensningsanlæg fx på en fabrik eller i en storby,det rene ingenting,DISCREPANCY,0,,0,0,0,0
hyppe sine egne kartofler,2,3,abstract misinterpretation,dyrke grøntsager i sin have til eget brug; være selvforsynende,pleje sine egne interesser,DISCREPANCY,2,"C,D",0,0,1,1
smede mens jernet er varmt,0,3,concrete misinterpretation,bearbejde jern mens det er varmt nok,udføre en handling når muligheden for et vellykket resultat er til stede,DISCREPANCY,2,"A,D",1,0,0,1
hurtig i vendingen,0,1,abstract misinterpretation,skarp; intelligent,hurtig til at handle eller reagere i en situation,DISCREPANCY,1,A,1,0,0,0
tjene ind på gyngerne hvad man har mistet på karrusellen,0,1,random definition,"det er forkert, umuligt eller uacceptabelt; sådan hænger tingene ikke sammen",tjene lige så meget på én investering som man mister på en anden,DISCREPANCY,0,,0,0,0,0
med hovedet under armen,0,3,concrete misinterpretation,med et hoved båret under den ene arm,uden at tænke sig om,DISCREPANCY,0,,0,0,0,0
føle sig hjemme,2,1,concrete misinterpretation,have samme fornemmelse som når man er hjemme,være tilfreds med en beskæftigelse fordi den passer godt sammen med ens tanker og ønsker,DISCREPANCY,1,C,0,0,1,0
frem og tilbage er lige langt,1,3,concrete misinterpretation,ruten ud og ruten hjem er den samme,bruges for at udtrykke ærgrelse over at der ikke er sket fremskridt trods mange anstrengelser,DISCREPANCY,1,B,0,1,0,0
mange bække små gør en stor å,0,1,concrete misinterpretation,der dannes en stor å når mange små vandløb løber sammen,"mange mindre forekomster, bidrag eller lignende som hver for sig ikke udgør noget særligt, kan tilsammen udgøre noget stort eller på anden måde betydningsfuldt",DISCREPANCY,2,"A,B",1,1,0,0
glat som en ål,1,2,concrete misinterpretation,lige så glat som overfladen på en ål,undvigende og svær at fastholde i en diskussion; upålidelig,DISCREPANCY,2,"B,C",0,1,1,0
mele sin egen kage,0,2,abstract misinterpretation,(være i stand til at) planlægge og udføre en svær opgave uden betydelig hjælp fra andre,pleje sine egne interesser uden at tage hensyn til andre; kun tænke på sig selv,DISCREPANCY,2,"A,C",1,0,1,0
gå forkert i byen,2,0,concrete misinterpretation,fare vild i en by,tage fejl,DISCREPANCY,1,C,0,0,1,0
hellere ville brække en arm på langs end ..,0,3,abstract misinterpretation,bruges for at udtrykke modvilje og ubehag over nogens handlinger,bruges som udtryk for at nogen stiller sig totalt afvisende,DISCREPANCY,2,"A,B",1,1,0,0
køre sit eget løb,0,3,abstract misinterpretation,køre hurtigere end en lovbestemt hastighedsgrænse tillader,være ligeglad med andre på en uansvarlig måde; ikke bidrage til fællesskabet,DISCREPANCY,0,,0,0,0,0
skide grønne grise,3,2,abstract misinterpretation,være bragt ud af psykisk ligevægt i kraft af forargelse eller chok,"være meget bange, nervøs eller lignende",DISCREPANCY,1,D,0,0,0,1
ligeved og næsten slår ingen mand af hesten,2,1,abstract misinterpretation,hvis man gør tingene sjusket eller delvist kan man ikke forvente et godt resultat,"hvis man har ramt forbi eller lidt nederlag, er det ligegyldigt hvor meget eller lidt man har fejlet",DISCREPANCY,1,C,0,0,1,0
underskrive sin egen dødsdom,1,2,concrete misinterpretation,underskrive en aftale der dømmer én selv til døden,"handle således at konsekvenserne for éns eksistens, anseelse eller lignende bliver meget alvorlige",DISCREPANCY,2,"B,C",0,1,1,0
have flossede kanter,0,2,concrete misinterpretation,være flosset langs kanten -- fx om bog,have visse fejl og mangler som ikke tidligere var der,DISCREPANCY,1,A,1,0,0,0
komme ud af fjerene,0,2,random definition,hellere begynde på noget ubehageligt eller vanskeligt straks og få det overstået end udskyde det,(med besvær) stå ud af sin seng om morgenen,DISCREPANCY,0,,0,0,0,0
drikke nogen under bordet,1,2,concrete misinterpretation,få nogen til at drikke så meget at de falder ned af deres stol og lander under bordet,drikke alkoholiske drikke (om kap) sammen med nogen så denne drikker for meget,DISCREPANCY,2,"B,C",0,1,1,0
smage som at række tungen ud ad vinduet,0,3,concrete misinterpretation,have en kølig og frisk smag; være forfriskende,ikke smage af noget; være kedelig eller uinteressant i smagen,DISCREPANCY,1,A,1,0,0,0
sætte kikkerten for det blinde øje,0,2,random definition,foretage sig noget som man godt ved kan blive farligt eller få uheldige konsekvenser,"undlade at bemærke eller reagere på noget, fx som udtryk for forsømmelighed, overbærenhed eller for at undgå noget ubehageligt",DISCREPANCY,0,,0,0,0,0
riste over en sagte ild,0,1,random definition,ihærdigt og vedholdende arbejde på at nå et mål man har sat sig for,udsætte for et langvarigt og ubehageligt pres,DISCREPANCY,0,,0,0,0,0
hverken vådt eller tørt,0,1,concrete misinterpretation,em smule fugtigt,hverken noget drikkeligt eller noget spiseligt,DISCREPANCY,0,,0,0,0,0
jeg vil æde min hat på ..,1,2,concrete misinterpretation,være så sikker på noget at man lover at ville æde sin hat hvis det ikke passer,bruges for at forsikre tilhøreren om at ens formodning i en bestemt sag er rigtig,DISCREPANCY,2,"B,C",0,1,1,0
trække en kanin op af hatten,1,3,concrete misinterpretation,trække en kanin op af en hat -- ofte i forbindelse med tryllekunst,"gøre noget overraskende, fx komme med en ny og uventet oplysning i en debat for at skabe opmærksomhed",DISCREPANCY,2,"B,D",0,1,0,1
ingen kender dagen før solen går ned,3,1,abstract misinterpretation,nogle hemmeligheder tager man med sig i graven,"først når dagen er forbi, kan man vide hvad den har bragt",DISCREPANCY,1,D,0,0,0,1
de tusind søers land,2,3,concrete misinterpretation,et land med tusind søer,Finland,DISCREPANCY,2,"C,D",0,0,1,1
slå nogen oven i hovedet med noget,2,3,concrete misinterpretation,slå nogen i hovedet med noget,"argumentere (voldsomt) mod en andens mening, fx ved at fremhæve sin egen viden eller ved at fremføre indiskutable oplysninger",DISCREPANCY,2,"C,D",0,0,1,1
sommerfuglestøv på vingerne,0,2,concrete misinterpretation,skæl på sommerfugles vinger,uskyldighed; uberørthed,DISCREPANCY,0,,0,0,0,0
nogen vender bøtten,0,3,concrete misinterpretation,"nogen vender en beholder på hovedet, typisk for at få al indholdet ud",forholdet vendes om; noget tager en ny (og modsat) vending eller drejning,DISCREPANCY,2,"A,D",1,0,0,1
der falder brænde ned,0,1,random definition,"blot fordi noget ser ud til at være fint og værdifuldt, er det ikke ensbetydende med at det er det",nogen bliver eller vil blive skældt voldsomt ud pga. en begået forseelse,DISCREPANCY,0,,0,0,0,0
rasle med sablen,1,3,concrete misinterpretation,gestikulere truende ved at vifte med et stikvåben i retning af en fjende,true med anvendelse af (militære eller politiske) magtmidler,DISCREPANCY,2,"B,D",0,1,0,1
som en åben bog,2,1,abstract misinterpretation,uden overraskelser,uden besvær,DISCREPANCY,2,"C,D",0,0,1,1
bide sig selv i halen,0,2,random definition,elendigt; talentløst,være uden løsning fordi løsningen uundgåeligt vil afføde et andet (nært beslægtet) problem,DISCREPANCY,0,,0,0,0,0
gå på krum arm,0,1,random definition,"bruges for at udtrykke at noget foregår med stor fart, eller at noget haster",gå tæt omslyngede; være kærester,DISCREPANCY,0,,0,0,0,0
holde gryden i kog,0,2,concrete misinterpretation,opretholde en så høj temperatur på en væske i en gryde at væsken fortsat er i kog,gøre noget for at holde en interesse eller et engagement ved lige eller en aktivitet i gang,DISCREPANCY,2,"A,C",1,0,1,0
verdens tag,0,2,concrete misinterpretation,et tag som er fælles for alle i verden,"meget højtliggende bjergområde, især (land eller område i) Himalaya eller Pamir",DISCREPANCY,0,,0,0,0,0
til ingen verdens nytte,0,2,concrete misinterpretation,ikke til nytte for nogen eller noget i verden,overhovedet ikke til nytte; helt overflødigt eller forgæves,DISCREPANCY,2,"A,C",1,0,1,0
mosekonen brygger,0,1,concrete misinterpretation,en mosekone fremstiller en drik ved opvarmning eller kogning,det er tåget,DISCREPANCY,2,"A,C",1,0,1,0
alle veje fører til Rom,2,3,concrete misinterpretation,følger man en bestemt vej længe nok ender man i Rom,man kan komme frem til et mål på mange måder,DISCREPANCY,2,"C,D",0,0,1,1
give faklen videre,0,2,abstract misinterpretation,oplære nogen så de fremover kan udføre en bestemt opgave på egen hånd,"overlade et hverv, fx en formands- eller ministerpost",DISCREPANCY,3,"A,B,C",1,1,1,0
ikke give ved dørene,0,1,abstract misinterpretation,sørge for at andre føler sig velkomne i ens hjem,ikke være særlig gavmild; ikke lade nogen få noget for nemt,DISCREPANCY,0,,0,0,0,0
kunne ligge på et meget lille sted,1,2,concrete misinterpretation,være tilstrækkelig lille til at befinde sig på et lille afgrænset område,have et meget begrænset omfang,DISCREPANCY,2,"B,C",0,1,1,0
sætte sin hat som man vil,0,3,concrete misinterpretation,placere sin hat på den måde man selv ønsker,opføre eller udfolde sig uden hensyntagen til gængse normer; gøre som man vil,DISCREPANCY,3,"A,B,D",1,1,0,1
skulle bæres ud med fødderne først,0,3,concrete misinterpretation,være i en situation hvor det er nødvendigt at blive båret væk i en liggende stilling,"først forlade et sted eller holde op med en aktivitet når andre tvinger én dertil, eller når man dør",DISCREPANCY,1,A,1,0,0,0
hverken fugl eller fisk,3,2,concrete misinterpretation,hverken en fugl eller en fisk,hverken det ene eller det andet; ikke tilstrækkelig; ikke anvendelig,DISCREPANCY,1,D,0,0,0,1
blive taget med fingrene i kagedåsen,0,1,abstract misinterpretation,befinde sig i en ufordelagtig eller problematisk situation hvor man føler sig magtesløs,blive overrasket eller afsløret i at gøre noget ulovligt eller umoralsk,DISCREPANCY,3,"A,B,D",1,1,0,1
stikke hovederne sammen,0,2,concrete misinterpretation,placere sine hoveder tæt ved hinanden,lægge planer i hemmelighed eller fortrolighed; hviske (bag nogens ryg); træffe aftaler,DISCREPANCY,3,"A,B,C",1,1,1,0
have gelé i knæene,0,1,random definition,"blive ødelagt, nedlagt, opsplittet, hængt ud i pressen eller lignende","være i en ekstrem situation fysisk eller psykisk pga. fx overanstrengelse, nervøsitet eller forventning",DISCREPANCY,0,,0,0,0,0
det tager en krig,0,1,abstract misinterpretation,noget er svært og ulykkeligt,det tager meget lang tid,DISCREPANCY,0,,0,0,0,0
ligne noget katten har slæbt ind,0,2,concrete misinterpretation,have et udseende tilsvarende noget en kat kunne bringe ind i et hus,se forfærdelig ud,DISCREPANCY,2,"A,C",1,0,1,0
en strid om kejserens skæg,0,3,abstract misinterpretation,en strid som ingen ved hvad handler om,en strid om et spørgsmål der er ligegyldigt eller ikke kan afgøres,DISCREPANCY,2,"A,D",1,0,0,1
koge suppe på noget,0,1,abstract misinterpretation,lave en (sladder)historie ud af noget småt eller betydningsløst,vedblivende og trættende behandle et velkendt og udtømt emne,DISCREPANCY,2,"A,B",1,1,0,0
ballonen revner,2,3,concrete misinterpretation,der går hul på en ballon,en illusion brister; noget går galt,DISCREPANCY,2,"C,D",0,0,1,1
bagsiden af medaljen,0,1,concrete misinterpretation,den side af en medalje som ikke er forsiden,den negative side af noget positivt,DISCREPANCY,2,"A,B",1,1,0,0
stoppe mens legen er god,0,1,concrete misinterpretation,holde op med at lege mens legen er underholdende for alle involverede,"holde op mens man stadig har succes, inden det går galt",DISCREPANCY,2,"A,B",1,1,0,0
til sidste blodsdråbe,0,1,concrete misinterpretation,til der ikke er mere tilgængeligt blod,indtil der ikke er mere liv,DISCREPANCY,0,,0,0,0,0
"ikke alt der glimter, er guld",1,3,concrete misinterpretation,"blot fordi noget glimter, er det ikke ensbetydende med at det er fremstillet af guld","blot fordi noget ser ud til at være fint og værdifuldt, er det ikke ensbetydende med at det er det",DISCREPANCY,2,"B,D",0,1,0,1
koge suppe på en pølsepind,0,1,concrete misinterpretation,(forsøge at) lave suppe ud af meget lidt,beskæftige sig med eller behandle et ubetydeligt eller overflødigt emne,DISCREPANCY,2,"A,B",1,1,0,0
stikke næsen i sky,0,1,concrete misinterpretation,rette næsen opad mod himlen,optræde overlegent,DISCREPANCY,0,,0,0,0,0
have en aktie i,2,3,concrete misinterpretation,eje en andel af en virksomhed,være aktiv deltager i; have indflydelse på,DISCREPANCY,2,"C,D",0,0,1,1
træde op på den store klinge,0,3,random definition,komme i håndgemæng eller slåskamp med,anstrenge sig; arbejde hårdt,DISCREPANCY,1,A,1,0,0,0
apostlenes heste,0,3,concrete misinterpretation,heste som apostlene red på,"benene, brugt til at gå på",DISCREPANCY,0,,0,0,0,0
spille fransk klovn,0,1,random definition,"bruges ofte (selv)ironisk for at udtrykke at selv en person uden de store forudsætninger, med lidt held, kan løse en bestemt opgave",opføre sig (ufrivilligt) komisk,DISCREPANCY,2,"A,B",1,1,0,0
gå nogen nærmere på klingen,0,3,concrete misinterpretation,angribe en anden person med en kniv eller et andet stikvåben,presse nogen til at afsløre noget som vedkommende forsøger at skjule,DISCREPANCY,0,,0,0,0,0
en køn plante,3,0,concrete misinterpretation,plantevækst der besidder særlige æstetiske egenskaber,en uopdragen eller på anden måde ubehagelig person,DISCREPANCY,1,D,0,0,0,1
det er for sent at kaste brønden til når barnet er druknet,0,1,concrete misinterpretation,når et barn først er druknet kan det ikke reddes,det er for sent at prøve at forhindre noget når skaden er sket,DISCREPANCY,2,"A,B",1,1,0,0
til at komme i papirmøllen,0,3,random definition,være meget vigtigt; gælde livet,ubrugelig; kassabel,DISCREPANCY,0,,0,0,0,0
I må kalde mig Mads hvis ..,0,2,concrete misinterpretation,i særlige situationer må I kalde mig Mads,bruges som forsikring om at noget er eller vil vise sig at være usandt,DISCREPANCY,0,,0,0,0,0
det pulveriserende liv,1,2,random definition,være i en meget vanskelig situation som påvirker én psykisk,"samfundslivet eller erhvervslivet med den hektiske, opslidende aktivitet som det er forbundet med",DISCREPANCY,2,"B,C",0,1,1,0
lugten i bageriet,0,3,abstract misinterpretation,"positiv sideeffekt af en proces, handling eller lignende","reglerne, forholdene og atmosfæren et bestemt sted",DISCREPANCY,2,"A,C",1,0,1,0
brændt barn skyr ilden,1,2,concrete misinterpretation,"har et barn først brændt sig, omgås det ild med større forsigtighed","hvis man én gang er kommet galt af sted med noget, undgår man at indlade sig på det igen",DISCREPANCY,2,"B,C",0,1,1,0
"når krybben er tom, bides hestene",0,2,concrete misinterpretation,når der ikke er mere at spise kommer hestene op at slås,"når der er knaphed eller mangel på noget, opstår der konflikter mellem mennesker",DISCREPANCY,2,"A,C",1,0,1,0
stærk tobak,0,1,concrete misinterpretation,tobak med et højt indhold af nikotin,"noget der er forargeligt, urimeligt, provokerende eller på anden måde gør stærkt indtryk",DISCREPANCY,1,A,1,0,0,0
tage noget i stiv arm,0,3,random definition,"kræve at nogen bliver straffet, afskediget eller lignende (pga. en forseelse)",bære modgang med styrke og sindsro,DISCREPANCY,0,,0,0,0,0
få en appelsin i turbanen,0,2,concrete misinterpretation,få en appelsin lagt ovenpå sin turban,pludselig og uventet opnå noget fordelagtigt; have heldet med sig,DISCREPANCY,0,,0,0,0,0
sagen er bøf,0,2,random definition,nogen bliver eller vil blive skældt voldsomt ud pga. en begået forseelse,sagen er i orden,DISCREPANCY,0,,0,0,0,0
heldig kartoffel,0,1,abstract misinterpretation,"velhavende person, fx jordbesidder",heldig eller lykkelig person,DISCREPANCY,0,,0,0,0,0
som at slå vand på en gås,0,2,abstract misinterpretation,som ikke er tilladt; som bryder loven,uden virkning; forgæves,DISCREPANCY,0,,0,0,0,0
den sorte klap går ned,1,2,abstract misinterpretation,bruges for at udtrykke at en person pludselig mister besindelsen; voldsomt raseri,bruges for at udtrykke at en person pludselig ikke kan huske noget bestemt,DISCREPANCY,2,"B,C",0,1,1,0
slå op i banen,3,2,concrete misinterpretation,"slå en bold langt ned ad banen, fx i rundbold",(pludselig) miste koncentrationen og evnen til at levere en god præstation; sætte farten ned og overlade initiativet til andre,DISCREPANCY,1,D,0,0,0,1
sidste skud på stammen,1,3,abstract misinterpretation,sidste chance for at gøre noget,person eller ting som er resultatet af den seneste udvikling inden for et område,DISCREPANCY,2,"B,D",0,1,0,1
kunne høre græsset gro,0,1,random definition,forholde sig tøvende til en bestemt sag med en blandet følelse af interesse og ubehag,have en meget god hørelse,DISCREPANCY,0,,0,0,0,0
ryste som et espeløv,0,1,concrete misinterpretation,ryste lige så meget som et blad på et espetræ,"ryste meget, fx af skræk, ophidselse, nervøsitet eller kulde",DISCREPANCY,2,"A,B",1,1,0,0
gå uden om noget som katten om den varme grød,0,1,concrete misinterpretation,gå uden om noget på samme måde som en kat der går udenom en skål med varm grød,forholde sig tøvende til en bestemt sag med en blandet følelse af interesse og ubehag,DISCREPANCY,1,A,1,0,0,0
føre til torvs,0,1,random definition,være i en situation hvor éns argumenter er utilstrækkelige eller uholdbare; være i en situation som man har svært ved at magte,gøre bekendt i en større kreds; offentliggøre,DISCREPANCY,0,,0,0,0,0
skræve mere end bukserne kan holde,0,2,abstract misinterpretation,opføre sig vovet eller dumdristigt,prøve på at gøre noget som det viser sig man ikke kan gennemføre,DISCREPANCY,2,"A,C",1,0,1,0
hvor længe var Adam i Paradis,2,3,concrete misinterpretation,tidsangivelse svarende til den periode hvor Adam befandt sig i paradisets have,bruges for at udtrykke at en god og lykkelig tilstand desværre kun var kortvarig,DISCREPANCY,2,"C,D",0,0,1,1
vide hvad vej vinden blæser,1,3,abstract misinterpretation,"kende til den nyeste udvikling inden for et felt, emne ellerlign.","vide i hvilken retning en sag udvikler sig, og indrette sig derefter",DISCREPANCY,2,"B,D",0,1,0,1
i nøden skal man kende sine venner,0,3,concrete misinterpretation,i modgang er det vigtigt at være tæt på sine venner,"de rigtige venner er dem der holder fast ved én, selv i modgang",DISCREPANCY,2,"A,D",1,0,0,1
være på hælene,0,1,concrete misinterpretation,stå på en måde så kun hælene har kontakt til underlaget,have problemer; være meget træt og nedslidt,DISCREPANCY,0,,0,0,0,0
hænge nogen langt ud af halsen,0,2,concrete misinterpretation,have en usynlig del der befinder sig i nogens svælg samt en synlig del der kommer ud af munden -- fx om gastroskop,være uudholdeligt fordi man er træt af det,DISCREPANCY,0,,0,0,0,0
ukrudt forgår ikke så let,0,1,concrete misinterpretation,det er svært at fjerne ukrudt,nogen eller noget er sejlivet og trodser forventninger eller håb om udslettelse,DISCREPANCY,2,"A,B",1,1,0,0
sidde med livet i hænderne,2,3,abstract misinterpretation,være i livsfare; befinde sig i en livstruende situation,"være meget nervøs, spændt eller bange",DISCREPANCY,2,"C,D",0,0,1,1
have foden under eget bord,0,2,abstract misinterpretation,have styr på sin økonomi,have sit eget hjem eller sin egen virksomhed,DISCREPANCY,2,"A,C",1,0,1,0
love guld og grønne skove,0,2,abstract misinterpretation,betale i naturalier (og ikke i likvide midler),"love rigdom, materielle eller andre goder, dog uden at der nødvendigvis er dækning for løfterne",DISCREPANCY,0,,0,0,0,0
finde sine egne ben,0,3,random definition,gøre noget mere besværligt end man behøver; udføre unødvendigt arbejde,finde ud af hvad man mener om en bestemt sag,DISCREPANCY,0,,0,0,0,0
slag i ansigtet,2,0,concrete misinterpretation,et slag i nogens ansigt,krænkelse; nederlag,DISCREPANCY,2,"C,D",0,0,1,1
den vej skal vi alle,0,1,concrete misinterpretation,bruges for at udpege en vej som alle skal gå på,vi skal alle dø,DISCREPANCY,2,"A,B",1,1,0,0
være over alle bjerge,1,3,abstract misinterpretation,godt tilfreds med resultatet af noget,være så langt væk allerede at det er håbløst at optage forfølgelsen,DISCREPANCY,2,"B,D",0,1,0,1
på éns glatte ansigt,0,3,abstract misinterpretation,baseret på udseende og ydre fremtoning; uden at tage højde for indre liv,med et tillidvækkende ydre som eneste garanti,DISCREPANCY,0,,0,0,0,0
gå op i limningen,0,2,abstract misinterpretation,blive afslappet og rolig,bryde sammen fysisk eller psykisk; ophøre (med at eksistere),DISCREPANCY,0,,0,0,0,0
enhver er sig selv nærmest,1,2,abstract misinterpretation,det er bedre at ordne tingene selv end at vente på at andre gør det for en,mennesket tænker først og fremmest på sin egen fordel når det skal vælge,DISCREPANCY,2,"B,C",0,1,1,0
ikke ride den dag man sadler,0,3,abstract misinterpretation,tænke sig godt om,være længe om at skride til konkret handling; være længe om at træffe en beslutning,DISCREPANCY,0,,0,0,0,0
slikke frimærker,0,1,concrete misinterpretation,slikke på bagsiden af frimærker,"udføre underordnet, ensformigt kontorarbejde",DISCREPANCY,2,"A,B",1,1,0,0
træerne vokser ikke ind i himlen,2,1,concrete misinterpretation,der er en grænse for hvor høje træer kan blive,en enkelt succes er ingen garanti for fortsat fremgang,DISCREPANCY,1,C,0,0,1,0
vende vrangen ud,0,1,concrete misinterpretation,vende et stykke tøj om sådan at sømmene vendes udad,"vise en ukendt, ofte ubehagelig eller problematisk, men sand side af noget eller nogen, evt. sig selv",DISCREPANCY,3,"A,B,C",1,1,1,0
rive hovedet af nogen,0,1,concrete misinterpretation,adskille nogens hoved fra vedkommendes krop,give nogen en voldsom irettesættelse; skælde nogen ud,DISCREPANCY,2,"A,B",1,1,0,0
tyv tror hvermand stjæler,0,2,concrete misinterpretation,en tyv har en forestilling om at alle mennesker stjæler,bruges om en person som tillægger andre personer sine egne fejl og svagheder,DISCREPANCY,2,"A,C",1,0,1,0
som skidt fra en spædekalv,0,3,concrete misinterpretation,som afføring fra en nyfødt kalv,hurtigt og i en stor mængde,DISCREPANCY,1,A,1,0,0,0
himmel og jord står i ét,0,1,concrete misinterpretation,himmel og jord befinder sig på samme sted,det er et voldsomt uvejr med storm og regn eller sne,DISCREPANCY,0,,0,0,0,0
ikke kunne se en hånd for sig,1,2,concrete misinterpretation,ikke være i stand til at se en hånd lige foran kroppen,"ikke kunne se noget pga. mørke, tåge, snevejr eller lignende",DISCREPANCY,2,"B,C",0,1,1,0
hverken til at hugge eller stikke i,0,2,abstract misinterpretation,bagt for længe; bagt så længe at overfladen er for hård,umulig at overtale eller få til at skifte mening,DISCREPANCY,0,,0,0,0,0
have bukserne på,0,1,abstract misinterpretation,være den i et parforhold der tjener (og har) flest penge,være den der bestemmer; være den dominerende part,DISCREPANCY,0,,0,0,0,0
lægge alle sine æg i samme kurv,1,3,concrete misinterpretation,placere samtlige æg i én kurv,kun satse på én mulighed og dermed løbe en risiko,DISCREPANCY,2,"B,D",0,1,0,1
som at se maling tørre,1,2,abstract misinterpretation,bruges for at betegne en meget lang ventetid,bruges især i sammenlignende konstruktioner for at betegne et fænomen eller en aktivitet som meget kedelig,DISCREPANCY,3,"B,C,D",0,1,1,1
stege i sit eget fedt,2,3,concrete misinterpretation,stege et stykke kød i animalsk fedt fra det dyr kødet stammer fra,tage de ubehagelige følger af sine handlinger eller udtalelser,DISCREPANCY,2,"C,D",0,0,1,1
bukke begge ender sammen på,1,0,concrete misinterpretation,bøje en genstand så enderne mødes,give en omgang tæsk,DISCREPANCY,1,B,0,1,0,0
ride sin kæphest,1,3,abstract misinterpretation,dyrke en hobby; beskæftige sig med noget som man finder særligt interessant,(igen) give udtryk for sin velkendte mening eller tale om et bestemt emne,DISCREPANCY,2,"B,D",0,1,0,1
gnide sig op ad nogen,1,3,concrete misinterpretation,gnide sin krop op ad en andens krop,være påtrængende og indsmigrende,DISCREPANCY,2,"B,D",0,1,0,1
man kan også købe guld for dyrt,3,0,concrete misinterpretation,man kan risikere at betale mere for guld end hvad de aktuelle guldpriser foreskriver,"det at blive velhavende kan have for store menneskelige omkostninger, fx tabet af væsentlige åndelige værdier",DISCREPANCY,1,D,0,0,0,1
passe som fod i hose,0,3,concrete misinterpretation,passe som en nøgen fod i den rette størrelse sok,passe godt; gå meget nemt,DISCREPANCY,0,,0,0,0,0
rotterne forlader den synkende skude,0,2,abstract misinterpretation,flere personer forlader en situation (fx. et møde eller en fest) pga. opstået uro eller en dårlig stemning,nogen trækker sig ud af et forehavende fordi det er på vej til at mislykkes,DISCREPANCY,2,"A,C",1,0,1,0
så god som dagen er lang,2,3,abstract misinterpretation,meget hjælpsom og omsorgsfuld,ualmindelig sød og rar,DISCREPANCY,1,C,0,0,1,0
