talemaade_udtryk,predicted_label,true_label,error_category,predicted_definition,true_definition,Discrepancy,yes_count,yes_options,A_response,B_response,C_response,D_response
mange bække små gør en stor å,0,1,concrete misinterpretation,der dannes en stor å når mange små vandløb løber sammen,"mange mindre forekomster, bidrag eller lignende som hver for sig ikke udgør noget særligt, kan tilsammen udgøre noget stort eller på anden måde betydningsfuldt",DISCREPANCY,2,"A,B",1,1,0,0
glat som en ål,1,2,concrete misinterpretation,lige så glat som overfladen på en ål,undvigende og svær at fastholde i en diskussion; upålidelig,DISCREPANCY,2,"B,C",0,1,1,0
mele sin egen kage,0,2,abstract misinterpretation,(være i stand til at) planlægge og udføre en svær opgave uden betydelig hjælp fra andre,pleje sine egne interesser uden at tage hensyn til andre; kun tænke på sig selv,DISCREPANCY,2,"A,C",1,0,1,0
gå forkert i byen,2,0,concrete misinterpretation,fare vild i en by,tage fejl,DISCREPANCY,1,C,0,0,1,0
hellere ville brække en arm på langs end ..,1,3,concrete misinterpretation,være villig til at få et kompliceret knoglebrud i armen for at undgå en situation,bruges som udtryk for at nogen stiller sig totalt afvisende,DISCREPANCY,1,B,0,1,0,0
køre sit eget løb,0,3,abstract misinterpretation,køre hurtigere end en lovbestemt hastighedsgrænse tillader,være ligeglad med andre på en uansvarlig måde; ikke bidrage til fællesskabet,DISCREPANCY,0,,0,0,0,0
skide grønne grise,0,2,random definition,bruges for at udtrykke hvor svært det er for mennesket at give afkald på materielle goder til fordel for åndelige værdier,"være meget bange, nervøs eller lignende",DISCREPANCY,0,,0,0,0,0
efter alle kunstens regler,0,1,concrete misinterpretation,som følger en kunstarts regler,på den bedst tænkelige eller mulige måde; så alle tænkelige regler og normer er overholdt,DISCREPANCY,2,"A,B",1,1,0,0
ligeved og næsten slår ingen mand af hesten,2,1,abstract misinterpretation,hvis man gør tingene sjusket eller delvist kan man ikke forvente et godt resultat,"hvis man har ramt forbi eller lidt nederlag, er det ligegyldigt hvor meget eller lidt man har fejlet",DISCREPANCY,1,C,0,0,1,0
have flossede kanter,0,2,concrete misinterpretation,være flosset langs kanten -- fx om bog,have visse fejl og mangler som ikke tidligere var der,DISCREPANCY,1,A,1,0,0,0
komme ud af fjerene,0,2,random definition,hellere begynde på noget ubehageligt eller vanskeligt straks og få det overstået end udskyde det,(med besvær) stå ud af sin seng om morgenen,DISCREPANCY,2,"A,C",1,0,1,0
sætte kikkerten for det blinde øje,0,2,random definition,foretage sig noget som man godt ved kan blive farligt eller få uheldige konsekvenser,"undlade at bemærke eller reagere på noget, fx som udtryk for forsømmelighed, overbærenhed eller for at undgå noget ubehageligt",DISCREPANCY,2,"A,C",1,0,1,0
tage noget tungt,0,1,abstract misinterpretation,begynde på en stor og evt. besværlig opgave,ærgre sig over noget eller være ked af noget,DISCREPANCY,2,"A,D",1,0,0,1
hverken vådt eller tørt,3,1,random definition,være længe om at skride til konkret handling; være længe om at træffe en beslutning,hverken noget drikkeligt eller noget spiseligt,DISCREPANCY,1,D,0,0,0,1
jeg vil æde min hat på ..,1,2,concrete misinterpretation,være så sikker på noget at man lover at ville æde sin hat hvis det ikke passer,bruges for at forsikre tilhøreren om at ens formodning i en bestemt sag er rigtig,DISCREPANCY,2,"B,C",0,1,1,0
trække en kanin op af hatten,1,3,concrete misinterpretation,trække en kanin op af en hat -- ofte i forbindelse med tryllekunst,"gøre noget overraskende, fx komme med en ny og uventet oplysning i en debat for at skabe opmærksomhed",DISCREPANCY,2,"B,D",0,1,0,1
skære nogen i hjertet,0,2,random definition,bruges for at udtrykke at man er helt sikker i sin sag,gøre nogen ked af det; vække nogens medynk,DISCREPANCY,0,,0,0,0,0
de tusind søers land,2,3,concrete misinterpretation,et land med tusind søer,Finland,DISCREPANCY,2,"C,D",0,0,1,1
sommerfuglestøv på vingerne,0,2,concrete misinterpretation,skæl på sommerfugles vinger,uskyldighed; uberørthed,DISCREPANCY,2,"A,C",1,0,1,0
nogen vender bøtten,0,3,concrete misinterpretation,"nogen vender en beholder på hovedet, typisk for at få al indholdet ud",forholdet vendes om; noget tager en ny (og modsat) vending eller drejning,DISCREPANCY,2,"A,D",1,0,0,1
der falder brænde ned,0,1,random definition,"blot fordi noget ser ud til at være fint og værdifuldt, er det ikke ensbetydende med at det er det",nogen bliver eller vil blive skældt voldsomt ud pga. en begået forseelse,DISCREPANCY,3,"A,B,D",1,1,0,1
som en åben bog,0,1,random definition,bruges for at udtrykke at noget er helt usandsynligt,uden besvær,DISCREPANCY,0,,0,0,0,0
holde gryden i kog,0,2,concrete misinterpretation,opretholde en så høj temperatur på en væske i en gryde at væsken fortsat er i kog,gøre noget for at holde en interesse eller et engagement ved lige eller en aktivitet i gang,DISCREPANCY,2,"A,C",1,0,1,0
til ingen verdens nytte,0,2,concrete misinterpretation,ikke til nytte for nogen eller noget i verden,overhovedet ikke til nytte; helt overflødigt eller forgæves,DISCREPANCY,2,"A,C",1,0,1,0
der kom en mand med en slæde i vejen,1,3,concrete misinterpretation,en mand med en slæde spærrer vejen for videre færd,der dukkede pludselige eller uforudsete forhindringer op,DISCREPANCY,3,"B,C,D",0,1,1,1
give faklen videre,0,2,abstract misinterpretation,oplære nogen så de fremover kan udføre en bestemt opgave på egen hånd,"overlade et hverv, fx en formands- eller ministerpost",DISCREPANCY,3,"A,B,C",1,1,1,0
give den en skalle,3,2,concrete misinterpretation,ramme noget med toppen af hovedet,gøre en kraftig arbejdsindsats,DISCREPANCY,1,D,0,0,0,1
kunne ligge på et meget lille sted,1,2,concrete misinterpretation,være tilstrækkelig lille til at befinde sig på et lille afgrænset område,have et meget begrænset omfang,DISCREPANCY,2,"B,C",0,1,1,0
sætte sin hat som man vil,0,3,concrete misinterpretation,placere sin hat på den måde man selv ønsker,opføre eller udfolde sig uden hensyntagen til gængse normer; gøre som man vil,DISCREPANCY,2,"A,D",1,0,0,1
skulle bæres ud med fødderne først,0,3,concrete misinterpretation,være i en situation hvor det er nødvendigt at blive båret væk i en liggende stilling,"først forlade et sted eller holde op med en aktivitet når andre tvinger én dertil, eller når man dør",DISCREPANCY,2,"A,D",1,0,0,1
der er ikke noget at rafle om,0,3,concrete misinterpretation,melding i terningespillet Yatzy der bruges når en spiller har udtømt alle spillets muligheder for at få point,intet er overladt til tilfældighederne; der er ikke noget at diskutere,DISCREPANCY,0,,0,0,0,0
have et ben i hver lejr,0,3,abstract misinterpretation,være i tvivl; vakle mellem to modsatrettede holdninger,have sympati eller interessefællesskab med begge (eller alle) de uenige parter,DISCREPANCY,2,"A,D",1,0,0,1
det tager en krig,0,1,abstract misinterpretation,noget er svært og ulykkeligt,det tager meget lang tid,DISCREPANCY,0,,0,0,0,0
ligne noget katten har slæbt ind,0,2,concrete misinterpretation,have et udseende tilsvarende noget en kat kunne bringe ind i et hus,se forfærdelig ud,DISCREPANCY,2,"A,C",1,0,1,0
koge suppe på noget,0,1,abstract misinterpretation,lave en (sladder)historie ud af noget småt eller betydningsløst,vedblivende og trættende behandle et velkendt og udtømt emne,DISCREPANCY,2,"A,B",1,1,0,0
ballonen revner,2,3,concrete misinterpretation,der går hul på en ballon,en illusion brister; noget går galt,DISCREPANCY,2,"C,D",0,0,1,1
"ikke alt der glimter, er guld",1,3,concrete misinterpretation,"blot fordi noget glimter, er det ikke ensbetydende med at det er fremstillet af guld","blot fordi noget ser ud til at være fint og værdifuldt, er det ikke ensbetydende med at det er det",DISCREPANCY,2,"B,D",0,1,0,1
råbe vagt i gevær,0,3,abstract misinterpretation,pifte eller råbe for at få en gruppe mennesker til at være stille,"advare mod en bestemt, farlig eller uheldig udvikling",DISCREPANCY,0,,0,0,0,0
koge suppe på en pølsepind,0,1,concrete misinterpretation,(forsøge at) lave suppe ud af meget lidt,beskæftige sig med eller behandle et ubetydeligt eller overflødigt emne,DISCREPANCY,3,"A,B,D",1,1,0,1
have en aktie i,1,3,abstract misinterpretation,"være involveret i en sag eller et foretagende, ofte uønsket eller uforskyldt",være aktiv deltager i; have indflydelse på,DISCREPANCY,3,"B,C,D",0,1,1,1
træde op på den store klinge,0,3,random definition,komme i håndgemæng eller slåskamp med,anstrenge sig; arbejde hårdt,DISCREPANCY,3,"A,B,D",1,1,0,1
sejle på varmen,2,0,abstract misinterpretation,udnytte andres godgørenhed til egen vinding; drage fordel af noget på bekostning af andre,"sejle i de varme lande, i troperne",DISCREPANCY,1,C,0,0,1,0
spille fransk klovn,0,1,random definition,"bruges ofte (selv)ironisk for at udtrykke at selv en person uden de store forudsætninger, med lidt held, kan løse en bestemt opgave",opføre sig (ufrivilligt) komisk,DISCREPANCY,2,"A,B",1,1,0,0
en ulykke kommer sjældent alene,0,3,concrete misinterpretation,en ulykke sker for det meste samtidig med flere andre ulykker,"når noget går galt, kan man forvente at endnu mere går galt",DISCREPANCY,2,"A,D",1,0,0,1
en køn plante,3,0,concrete misinterpretation,plantevækst der besidder særlige æstetiske egenskaber,en uopdragen eller på anden måde ubehagelig person,DISCREPANCY,1,D,0,0,0,1
det er for sent at kaste brønden til når barnet er druknet,0,1,concrete misinterpretation,når et barn først er druknet kan det ikke reddes,det er for sent at prøve at forhindre noget når skaden er sket,DISCREPANCY,3,"A,B,D",1,1,0,1
til at komme i papirmøllen,0,3,random definition,være meget vigtigt; gælde livet,ubrugelig; kassabel,DISCREPANCY,0,,0,0,0,0
I må kalde mig Mads hvis ..,1,2,abstract misinterpretation,det ville undre mig meget hvis,bruges som forsikring om at noget er eller vil vise sig at være usandt,DISCREPANCY,1,B,0,1,0,0
det pulveriserende liv,0,2,abstract misinterpretation,det liv som ødelægger en,"samfundslivet eller erhvervslivet med den hektiske, opslidende aktivitet som det er forbundet med",DISCREPANCY,2,"A,C",1,0,1,0
lugten i bageriet,2,3,concrete misinterpretation,den lugt der er i et bageri,"reglerne, forholdene og atmosfæren et bestemt sted",DISCREPANCY,1,C,0,0,1,0
brændt barn skyr ilden,1,2,concrete misinterpretation,"har et barn først brændt sig, omgås det ild med større forsigtighed","hvis man én gang er kommet galt af sted med noget, undgår man at indlade sig på det igen",DISCREPANCY,2,"B,C",0,1,1,0
klædt af til skindet,2,0,concrete misinterpretation,afklædt; nøgen,uden flere penge eller andre værdier tilbage,DISCREPANCY,1,C,0,0,1,0
"når krybben er tom, bides hestene",0,2,concrete misinterpretation,når der ikke er mere at spise kommer hestene op at slås,"når der er knaphed eller mangel på noget, opstår der konflikter mellem mennesker",DISCREPANCY,2,"A,C",1,0,1,0
tage noget i stiv arm,0,3,random definition,"kræve at nogen bliver straffet, afskediget eller lignende (pga. en forseelse)",bære modgang med styrke og sindsro,DISCREPANCY,1,A,1,0,0,0
sagen er bøf,0,2,random definition,nogen bliver eller vil blive skældt voldsomt ud pga. en begået forseelse,sagen er i orden,DISCREPANCY,0,,0,0,0,0
heldig kartoffel,0,1,abstract misinterpretation,"velhavende person, fx jordbesidder",heldig eller lykkelig person,DISCREPANCY,0,,0,0,0,0
læse noget som Fanden læser Bibelen,0,2,random definition,kæmpe forgæves; kæmpe mod indbildte fjender eller vanskeligheder,læse noget med dårlig forståelse; udlægge noget til egen fordel uden at der er belæg for det,DISCREPANCY,0,,0,0,0,0
den sorte klap går ned,1,2,abstract misinterpretation,bruges for at udtrykke at en person pludselig mister besindelsen; voldsomt raseri,bruges for at udtrykke at en person pludselig ikke kan huske noget bestemt,DISCREPANCY,1,B,0,1,0,0
slå op i banen,0,2,random definition,ufortrødent og ihærdigt gå i gang med en (vanskelig) opgave,(pludselig) miste koncentrationen og evnen til at levere en god præstation; sætte farten ned og overlade initiativet til andre,DISCREPANCY,2,"A,C",1,0,1,0
sidste skud på stammen,0,3,concrete misinterpretation,den nyeste kvist eller gren på et træ,person eller ting som er resultatet af den seneste udvikling inden for et område,DISCREPANCY,0,,0,0,0,0
ryste som et espeløv,0,1,concrete misinterpretation,ryste lige så meget som et blad på et espetræ,"ryste meget, fx af skræk, ophidselse, nervøsitet eller kulde",DISCREPANCY,2,"A,B",1,1,0,0
gå uden om noget som katten om den varme grød,0,1,concrete misinterpretation,gå uden om noget på samme måde som en kat der går udenom en skål med varm grød,forholde sig tøvende til en bestemt sag med en blandet følelse af interesse og ubehag,DISCREPANCY,2,"A,B",1,1,0,0
føre til torvs,0,1,random definition,være i en situation hvor éns argumenter er utilstrækkelige eller uholdbare; være i en situation som man har svært ved at magte,gøre bekendt i en større kreds; offentliggøre,DISCREPANCY,3,"A,B,C",1,1,1,0
skræve mere end bukserne kan holde,0,2,abstract misinterpretation,opføre sig vovet eller dumdristigt,prøve på at gøre noget som det viser sig man ikke kan gennemføre,DISCREPANCY,2,"A,C",1,0,1,0
hvor længe var Adam i Paradis,2,3,concrete misinterpretation,tidsangivelse svarende til den periode hvor Adam befandt sig i paradisets have,bruges for at udtrykke at en god og lykkelig tilstand desværre kun var kortvarig,DISCREPANCY,2,"C,D",0,0,1,1
vide hvad vej vinden blæser,1,3,abstract misinterpretation,"kende til den nyeste udvikling inden for et felt, emne ellerlign.","vide i hvilken retning en sag udvikler sig, og indrette sig derefter",DISCREPANCY,2,"B,D",0,1,0,1
holde skindet på næsen,0,2,random definition,være overlegen eller arrogant; føle sig betydningsfuld,lige netop klare en økonomisk betrængt situation; med nød og næppe klare en prekær situation,DISCREPANCY,2,"A,C",1,0,1,0
lige børn leger bedst,0,3,concrete misinterpretation,"børn der er lige gamle, har stor glæde af hinanden","personer med nogenlunde samme sociale status, interesser eller lignende forliges eller samarbejder bedst",DISCREPANCY,2,"A,D",1,0,0,1
være på hælene,2,1,abstract misinterpretation,forholde sig afventende i forhold til en sag eller situation,have problemer; være meget træt og nedslidt,DISCREPANCY,1,C,0,0,1,0
hænge nogen langt ud af halsen,0,2,concrete misinterpretation,have en usynlig del der befinder sig i nogens svælg samt en synlig del der kommer ud af munden -- fx om gastroskop,være uudholdeligt fordi man er træt af det,DISCREPANCY,0,,0,0,0,0
ukrudt forgår ikke så let,0,1,concrete misinterpretation,det er svært at fjerne ukrudt,nogen eller noget er sejlivet og trodser forventninger eller håb om udslettelse,DISCREPANCY,2,"A,B",1,1,0,0
have en heldig hånd,1,2,concrete misinterpretation,have gode kort på hånden i et kortspil,være dygtig og heldig i en bestemt sag eller i en bestemt henseende,DISCREPANCY,2,"B,C",0,1,1,0
sidde med livet i hænderne,2,3,abstract misinterpretation,være i livsfare; befinde sig i en livstruende situation,"være meget nervøs, spændt eller bange",DISCREPANCY,2,"C,D",0,0,1,1
"se sol, måne og stjerner",0,1,abstract misinterpretation,kunne overskue en kompleks sag eller situation,være i en tilstand af stor nydelse eller stor smerte,DISCREPANCY,2,"A,C",1,0,1,0
gale katte får revne skind,0,1,abstract misinterpretation,man risikerer altid noget når man handler,"personer der handler ubetænksomt og voldsomt, kommer let til skade",DISCREPANCY,2,"A,B",1,1,0,0
finde sine egne ben,0,3,random definition,gøre noget mere besværligt end man behøver; udføre unødvendigt arbejde,finde ud af hvad man mener om en bestemt sag,DISCREPANCY,0,,0,0,0,0
på éns glatte ansigt,0,3,abstract misinterpretation,baseret på udseende og ydre fremtoning; uden at tage højde for indre liv,med et tillidvækkende ydre som eneste garanti,DISCREPANCY,4,"A,B,C,D",1,1,1,1
slikke frimærker,0,1,concrete misinterpretation,slikke på bagsiden af frimærker,"udføre underordnet, ensformigt kontorarbejde",DISCREPANCY,2,"A,B",1,1,0,0
vende vrangen ud,0,1,concrete misinterpretation,vende et stykke tøj om sådan at sømmene vendes udad,"vise en ukendt, ofte ubehagelig eller problematisk, men sand side af noget eller nogen, evt. sig selv",DISCREPANCY,3,"A,B,C",1,1,1,0
rive hovedet af nogen,0,1,concrete misinterpretation,adskille nogens hoved fra vedkommendes krop,give nogen en voldsom irettesættelse; skælde nogen ud,DISCREPANCY,2,"A,B",1,1,0,0
tyv tror hvermand stjæler,0,2,concrete misinterpretation,en tyv har en forestilling om at alle mennesker stjæler,bruges om en person som tillægger andre personer sine egne fejl og svagheder,DISCREPANCY,2,"A,C",1,0,1,0
som skidt fra en spædekalv,0,3,concrete misinterpretation,som afføring fra en nyfødt kalv,hurtigt og i en stor mængde,DISCREPANCY,2,"A,D",1,0,0,1
ikke kunne se en hånd for sig,1,2,concrete misinterpretation,ikke være i stand til at se en hånd lige foran kroppen,"ikke kunne se noget pga. mørke, tåge, snevejr eller lignende",DISCREPANCY,2,"B,C",0,1,1,0
hverken til at hugge eller stikke i,3,2,random definition,se meget træt og sløj ud,umulig at overtale eller få til at skifte mening,DISCREPANCY,1,D,0,0,0,1
lægge alle sine æg i samme kurv,1,3,concrete misinterpretation,placere samtlige æg i én kurv,kun satse på én mulighed og dermed løbe en risiko,DISCREPANCY,2,"B,D",0,1,0,1
sur røv,0,1,concrete misinterpretation,snavset bagdel,bruges om en meget uheldig eller ærgerlig situation,DISCREPANCY,0,,0,0,0,0
det hører man ikke når musikken spiller,2,0,abstract misinterpretation,man kan slippe afsted med meget,det gør ikke så meget; det vil ingen lægge mærke til,DISCREPANCY,1,C,0,0,1,0
bukke begge ender sammen på,1,0,concrete misinterpretation,bøje en genstand så enderne mødes,give en omgang tæsk,DISCREPANCY,1,B,0,1,0,0
ride sin kæphest,1,3,abstract misinterpretation,dyrke en hobby; beskæftige sig med noget som man finder særligt interessant,(igen) give udtryk for sin velkendte mening eller tale om et bestemt emne,DISCREPANCY,2,"B,D",0,1,0,1
gnide sig op ad nogen,1,3,concrete misinterpretation,gnide sin krop op ad en andens krop,være påtrængende og indsmigrende,DISCREPANCY,2,"B,D",0,1,0,1
man kan også købe guld for dyrt,3,0,concrete misinterpretation,man kan risikere at betale mere for guld end hvad de aktuelle guldpriser foreskriver,"det at blive velhavende kan have for store menneskelige omkostninger, fx tabet af væsentlige åndelige værdier",DISCREPANCY,1,D,0,0,0,1
rønnebærrene er sure,0,2,abstract misinterpretation,det er endnu ikke blevet (sen)sommer,bruges om det at man omtaler noget ellers attraktivt som værdiløst eller ligegyldigt når man ikke selv kan opnå det,DISCREPANCY,3,"A,C,D",1,0,1,1
tro som guld,1,2,abstract misinterpretation,meget sikker i sin overbevisning,meget trofast,DISCREPANCY,2,"B,C",0,1,1,0
en gang til for prins Knud,1,0,concrete misinterpretation,endnu en gang til ære for en prins ved navn Knud,bruges når man gentager noget eller siger det ekstra tydeligt fordi samtalepartneren er lidt tungt opfattende,DISCREPANCY,2,"B,C",0,1,1,0
så god som dagen er lang,0,3,random definition,der er (udsigt til) problemer,ualmindelig sød og rar,DISCREPANCY,0,,0,0,0,0
have både til gården og til gaden,0,1,concrete misinterpretation,have udsmykning på begge sider af den ejendom som man bor i,have en stor bagdel og en stor barm,DISCREPANCY,0,,0,0,0,0
for mange kokke fordærver maden,0,2,concrete misinterpretation,maden bliver dårlig hvis der er mange om at lave den,"hvis (for) mange personer deltager i noget, risikerer det at medføre et dårligt resultat",DISCREPANCY,2,"A,C",1,0,1,0
være grebet ud af luften,1,2,abstract misinterpretation,være opstået eller sket pludseligt og uden forvarsel,være uden grundlag i virkeligheden; være frit opfundet,DISCREPANCY,2,"B,C",0,1,1,0
have nogen nede i sækken,0,3,random definition,"blive svag og eftergivende; blive overvældet af en følelse af ømhed, forelskelse eller lignende",være i klar vinderposition i en sportskamp idet man fuldstændig kontrollerer sin modstander,DISCREPANCY,0,,0,0,0,0
gå gennem ild og vand,0,1,abstract misinterpretation,gennemføre noget der i begyndelsen forekom at være umuligt,gøre alt hvad der står i ens magt,DISCREPANCY,2,"A,B",1,1,0,0
hælde ned ad brættet,0,3,abstract misinterpretation,starte forfra,afvise fuldstændig,DISCREPANCY,0,,0,0,0,0
jokke i spinaten,0,3,random definition,ikke være særlig begavet,utilsigtet sige eller gøre noget dumt,DISCREPANCY,0,,0,0,0,0
ingen kæde er stærkere end det svageste led,1,3,concrete misinterpretation,hvis et led i en kæde er svagt er hele kæden svag,selv det bedste er utilstrækkeligt hvis blot en enkelt detalje er mangelfuld,DISCREPANCY,2,"B,D",0,1,0,1
ondt i håret,1,3,abstract misinterpretation,utilfreds med sit nyklippede hår eller en ny frisure,ondt i hovedet; tømmermænd,DISCREPANCY,1,B,0,1,0,0
det muntre køkken,1,3,concrete misinterpretation,et køkken hvor der hersker en glad stemning,"bruges om en ustyrlig, meget livlig og evt. ødelæggende aktivitet eller gruppe af personer",DISCREPANCY,2,"B,D",0,1,0,1
gå hen over hovedet på nogen,0,1,abstract misinterpretation,påvirke en person i en åndelig eller spirituel retning,ikke blive forstået af nogen,DISCREPANCY,0,,0,0,0,0
nogens hjerte springer et slag over,2,3,abstract misinterpretation,nogen får en fysisk reaktion på voldsomme følelser,"nogen bliver overrumplet af en stærk følelse, fx angst, glæde eller spænding",DISCREPANCY,2,"C,D",0,0,1,1
tage arven op efter nogen,0,1,abstract misinterpretation,beskæftige sig med slægtsforskning,stå ved sine forpligtelser i forhold til fortid eller oprindelse,DISCREPANCY,0,,0,0,0,0
det store dyr i åbenbaringen,0,2,abstract misinterpretation,bruges for at udtrykke når nogen eller noget er af markant bedre kvalitet end andet,"noget som er nyt og anderledes, og som på kort tid har fået stor positiv eller negativ indflydelse inden for et bestemt (fagligt) område",DISCREPANCY,0,,0,0,0,0
komme godt fra land,0,1,abstract misinterpretation,være i bedring,"komme godt i gang; få en god start, især i en sportskamp eller -turnering",DISCREPANCY,0,,0,0,0,0
ofre noget på kærlighedens alter,0,2,abstract misinterpretation,"miste noget, fx kontakten til sine venner, i forbindelse med en (ulykkelig) forelskelse",give afkald på noget værdifuldt til fordel for kærligheden,DISCREPANCY,2,"A,C",1,0,1,0
kun en tåbe frygter ikke havet,0,2,abstract misinterpretation,det er tosset at bade i havet om vinteren,man skal være meget forsigtig når man har med havet at gøre,DISCREPANCY,0,,0,0,0,0
tisse i bukserne for at holde varmen,1,2,concrete misinterpretation,forsøge at hæve sin kropstemperatur ved at tisse i bukserne,"gøre noget der hjælper på kort sigt, men forværrer tingene på langt sigt",DISCREPANCY,2,"B,C",0,1,1,0
hvis og hvis min røv var spids,0,1,abstract misinterpretation,bruges til at udtrykke at man føler væmmelse ved nogen eller noget,bruges for at afvise samtalepartnerens forbehold og bekymrede forestillinger om fremtiden,DISCREPANCY,0,,0,0,0,0
slag i bolledejen,1,2,random definition,"når man ikke vil lytte til andres råd, må man selv bære de ubehagelige konsekvenser","energisk, utraditionel og undertiden provokerende fremgangsmåde, handling eller lignende",DISCREPANCY,3,"B,C,D",0,1,1,1
være en spurv i tranedans,1,3,abstract misinterpretation,være klodset og uelegant i sine handlinger,ikke være så fornem som de andre; deltage i noget man ikke er egnet til,DISCREPANCY,2,"B,D",0,1,0,1
hu hej vilde dyr,3,0,abstract misinterpretation,"ukontrolleret og med højt energiniveau -- om begivenhed, handling ellerlign.","bruges for at udtrykke at noget foregår med stor fart, eller at noget haster",DISCREPANCY,1,D,0,0,0,1
toppen af isbjerget,1,3,abstract misinterpretation,en synlig del af noget der ellers ikke kan ses,"en lille del af noget meget større, ofte noget ubehageligt",DISCREPANCY,2,"B,D",0,1,0,1
skulle have noget ind med skeer,0,1,concrete misinterpretation,skulle mades med ske,skulle have noget forklaret på en langsom og udførlig måde (fordi man er langsomt opfattende),DISCREPANCY,2,"A,B",1,1,0,0
"den der graver en grav for andre, falder selv i den",0,2,concrete misinterpretation,før eller siden falder man ned i den grav man har gravet for en anden,"den person der lægger planer om at narre eller skade en anden, risikerer selv at blive offer for disse planer",DISCREPANCY,2,"A,C",1,0,1,0
lykken står den kække bi,1,2,concrete misinterpretation,en modig person bliver ofte lykkelig,"dristige, frejdige mennesker er ofte også heldige",DISCREPANCY,2,"B,C",0,1,1,0
slå ind på en anden vej,0,3,concrete misinterpretation,følge en anden vej end tidligere,"ændre sin tilgang eller måde at agere på i forhold til et bestemt mål, typisk som reaktion på uventede omstændigheder eller for at opnå bedre resultater",DISCREPANCY,2,"A,D",1,0,0,1
støbe kuglerne,2,3,concrete misinterpretation,fremstille ammunition til skydevåben,"være den der udtænker, planlægger og styrer udførelsen af en idé",DISCREPANCY,1,C,0,0,1,0
der er løbet meget vand i stranden siden ..,2,3,abstract misinterpretation,mennesker ændrer sig over tid,der er sket meget siden ..; der er gået lang tid siden ..,DISCREPANCY,2,"C,D",0,0,1,1
slå til skaglerne,0,3,concrete misinterpretation,"slå let på nogle reb, fx på en båd",slå sig løs og more sig,DISCREPANCY,0,,0,0,0,0
vende og dreje hver femøre,0,3,abstract misinterpretation,være meget nærig; overveje sit pengeforbrug meget nøje,være meget sparsommelig,DISCREPANCY,3,"A,C,D",1,0,1,1
til den store guldmedalje,0,3,abstract misinterpretation,i rigelige mængder; i overmål,"energisk, dygtigt eller med held",DISCREPANCY,2,"A,B",1,1,0,0
