talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition
sætte sin hat som man vil,1,3,udføre noget uden at tage imod råd og vejledning fra andre,opføre eller udfolde sig uden hensyntagen til gængse normer; gøre som man vil
en kærlig hånd,1,0,en hånd placeret på nogen som udtryk for omsorg eller kærlighed,"bruges i udtryk om at nogen yder eller bør yde en engageret indsats for at hjælpe nogen, for at reparere noget, eller lignende"
kende noget som sin egen bukselomme,1,2,være i stand til at gøre noget på egen hånd og uden instruktioner,kende noget særdeles godt
komme fra et hjem med klaver,1,0,være vokset op i et hjem hvor den ene eller begge forældre spillede klaver,komme fra et (velstillet) hjem med kulturelle interesser
stikke hovederne sammen,1,2,forsøge at blive enige igen efter en diskussion eller et skænderi,lægge planer i hemmelighed eller fortrolighed; hviske (bag nogens ryg); træffe aftaler
krumme et hår på nogens hoved,1,3,råbe nogen an fra en længere distance,gøre nogen fortræd; genere nogen
det tager en krig,0,1,noget er svært og ulykkeligt,det tager meget lang tid
ligne noget katten har slæbt ind,1,2,være blevet udsat for vold,se forfærdelig ud
være godt skåret for tungebåndet,1,2,med succes (og af medicinske grunde) have fået tungebåndet klippet,have gode talegaver; kunne tale godt for sig
vide hvad klokken er,1,0,være klar over hvad tid på døgnet det er,vide at noget alvorligt eller afgørende er sket; vide hvordan noget vil ende eller udvikle sig
"ikke alt der glimter, er guld",1,3,"blot fordi noget glimter, er det ikke ensbetydende med at det er fremstillet af guld","blot fordi noget ser ud til at være fint og værdifuldt, er det ikke ensbetydende med at det er det"
have en aktie i,1,3,"være involveret i en sag eller et foretagende, ofte uønsket eller uforskyldt",være aktiv deltager i; have indflydelse på
træde op på den store klinge,0,3,komme i håndgemæng eller slåskamp med,anstrenge sig; arbejde hårdt
apostlenes heste,1,3,bruges i udtryk for at arbejde hårdt,"benene, brugt til at gå på"
sejle på varmen,2,0,udnytte andres godgørenhed til egen vinding; drage fordel af noget på bekostning af andre,"sejle i de varme lande, i troperne"
være som snydt ud af næsen på nogen,1,0,"bruges om hvad der nu er forsvundet, glemt eller uden interesse","ligne en anden meget, især mht. udseende"
luften går af ballonen,1,3,et smukt udseende varer ikke evigt; skønhed er forgængelig,en begivenhed eller et fænomen bliver mindre spændende; nogen mister handlekraften eller interessen
en ulykke kommer sjældent alene,0,3,en ulykke sker for det meste samtidig med flere andre ulykker,"når noget går galt, kan man forvente at endnu mere går galt"
de bredeste skuldre skal bære de tungeste byrder,1,0,"man skal hjælpe hvor man kan, uanset hvad man har at bidrage med","de personer der tjener mest, bør betale mest til dækning af samfundets fælles udgifter"
en køn plante,1,0,"person som er smuk, omsorgsfuld, god eller lignende",en uopdragen eller på anden måde ubehagelig person
klappe hesten,1,0,køre hurtigere; sætte farten op,tage det roligt; slappe af; se tiden an
til at komme i papirmøllen,1,3,"klar til at blive makuleret, dvs. ødelagt",ubrugelig; kassabel
I må kalde mig Mads hvis ..,1,2,det ville undre mig meget hvis,bruges som forsikring om at noget er eller vil vise sig at være usandt
det pulveriserende liv,1,2,være i en meget vanskelig situation som påvirker én psykisk,"samfundslivet eller erhvervslivet med den hektiske, opslidende aktivitet som det er forbundet med"
klædt af til skindet,2,0,afklædt; nøgen,uden flere penge eller andre værdier tilbage
bryde isen,1,3,"begynde på en forestilling, koncert ellerlign.",nærme sig hinanden i ord eller handling; gøre stemningen uformel
hovmod står for fald,1,0,arrogant opførsel skal bekæmpes,"en person der er hovmodig, lider let nederlag, ofte pga. sit hovmod"
tage noget i stiv arm,1,3,acceptere såvel de ubehagelige som de behagelige sider ved en sag,bære modgang med styrke og sindsro
få en appelsin i turbanen,1,2,pludselig skulle have større ansvar for noget end man havde regnet med,pludselig og uventet opnå noget fordelagtigt; have heldet med sig
sagen er bøf,0,2,nogen bliver eller vil blive skældt voldsomt ud pga. en begået forseelse,sagen er i orden
læse noget som Fanden læser Bibelen,1,2,læse noget på samme måde som en ikketroende person læser en religiøs tekst,læse noget med dårlig forståelse; udlægge noget til egen fordel uden at der er belæg for det
den sorte klap går ned,1,2,bruges for at udtrykke at en person pludselig mister besindelsen; voldsomt raseri,bruges for at udtrykke at en person pludselig ikke kan huske noget bestemt
slå op i banen,0,2,ufortrødent og ihærdigt gå i gang med en (vanskelig) opgave,(pludselig) miste koncentrationen og evnen til at levere en god præstation; sætte farten ned og overlade initiativet til andre
tage benene på nakken,3,2,selvforskyldt komme i en fastlåst eller håbløs situation,løbe (hurtigt) væk; stikke af; flygte
rydde nogen af vejen,1,0,"skubbe nogen eller på anden vis forårsage at nogen kommer væk fra en bestemt vej, bane eller lignende",slå nogen ihjel
kunne høre græsset gro,3,1,med sin hørelse kunne registrere at græs og andre vækster gror,have en meget god hørelse
tung at danse med,1,0,underholdende at danse med; dygtig til at danse,"vanskelig at have med at gøre, fx at få til at gøre noget"
ligge lunt i svinget,1,3,være forelskede,være i en fordelagtig position
være på hælene,2,1,forholde sig afventende i forhold til en sag eller situation,have problemer; være meget træt og nedslidt
hænge nogen langt ud af halsen,1,2,være uappetitligt,være uudholdeligt fordi man er træt af det
"man ved hvad man har, men ikke hvad man får",3,0,man kender ikke fremtiden,man kan risikere at forandringer fører til en forværring i stedet for en forbedring
dér ligger hunden begravet,2,0,på dette sted holder en person sig skjult eller uden for offentlighedens søgelys,dér er det egentlige problem
sidde med livet i hænderne,2,3,være i livsfare; befinde sig i en livstruende situation,"være meget nervøs, spændt eller bange"
alt hvad remmer og tøj kan holde,1,2,ønske at nogen befandt sig meget langt væk så man slap for dét besvær,så hurtigt eller kraftfuldt som muligt
"se sol, måne og stjerner",2,1,"kunne se både Solen, Månen og et udvalg af stjerner på himlen",være i en tilstand af stor nydelse eller stor smerte
have foden under eget bord,3,2,afvise nogen; vende nogen ryggen,have sit eget hjem eller sin egen virksomhed
finde sine egne ben,1,3,blive dygtigere indenfor et specifikt (fagligt) emne,finde ud af hvad man mener om en bestemt sag
slag i ansigtet,3,0,ubehagelig overraskelse,krænkelse; nederlag
slå til søren,1,0,"samfundslivet eller erhvervslivet med den hektiske, opslidende aktivitet som det er forbundet med",bruge (mange) penge
den vej skal vi alle,2,1,bruges for at gøre opmærksom på at nogen har konstateret noget åbenlyst,vi skal alle dø
på éns glatte ansigt,0,3,baseret på udseende og ydre fremtoning; uden at tage højde for indre liv,med et tillidvækkende ydre som eneste garanti
gå op i limningen,1,2,blive ødelagt det sted hvor noget er limet sammen,bryde sammen fysisk eller psykisk; ophøre (med at eksistere)
save den gren over man selv sidder på,3,0,sidde på en gren man er i færd med at save over,handle til skade for sig selv; ødelægge sine muligheder for fortsat beskæftigelse
eneste høne i kurven,1,0,eneste høne til stede i en kurv,eneste kvinde i en gruppe eller forsamling
ikke ride den dag man sadler,1,3,det vedrører ikke den sag; det er ikke relevant i den sammenhæng,være længe om at skride til konkret handling; være længe om at træffe en beslutning
træerne vokser ikke ind i himlen,2,1,der er en grænse for hvor høje træer kan blive,en enkelt succes er ingen garanti for fortsat fremgang
have bly i benene,1,0,have en benprotese af metal,have svært ved at bevæge sig pga. træthed eller lignende
rive hovedet af nogen,0,1,adskille nogens hoved fra vedkommendes krop,give nogen en voldsom irettesættelse; skælde nogen ud
som skidt fra en spædekalv,0,3,som afføring fra en nyfødt kalv,hurtigt og i en stor mængde
ikke kunne se en hånd for sig,1,2,ikke være i stand til at se en hånd lige foran kroppen,"ikke kunne se noget pga. mørke, tåge, snevejr eller lignende"
tage brødet ud af munden på nogen,1,3,udvise mangel på respekt ved at overskride nogens grænser,forhindre nogen i at arbejde og tjene penge; gøre nogen arbejdsløs
løbe hornene af sig,1,2,energisk fortælle om alt det man er utilfreds med,"udfolde sig energisk, især kropsligt eller seksuelt, i en tidlig fase af et forløb for siden at falde til ro"
lægge alle sine æg i samme kurv,1,3,placere samtlige æg i én kurv,kun satse på én mulighed og dermed løbe en risiko
fare i blækhuset,1,2,klappe i; holde op med at tale,reagere vredt eller kritisk på noget ved at skrive et indlæg imod det (især i form af et læserbrev)
det hører man ikke når musikken spiller,1,0,(visse typer) støj kan overdøves af musik,det gør ikke så meget; det vil ingen lægge mærke til
som at se maling tørre,1,2,bruges for at betegne en meget lang ventetid,bruges især i sammenlignende konstruktioner for at betegne et fænomen eller en aktivitet som meget kedelig
en storm i et glas vand,0,1,bruges for at udtrykke at en god og lykkelig tilstand desværre kun var kortvarig,voldsomt røre pga. en bagatel
stege i sit eget fedt,1,3,en begivenhed eller et fænomen bliver mindre spændende; nogen mister handlekraften eller interessen,tage de ubehagelige følger af sine handlinger eller udtalelser
bukke begge ender sammen på,1,0,bøje en genstand så enderne mødes,give en omgang tæsk
ride sin kæphest,1,3,dyrke en hobby; beskæftige sig med noget som man finder særligt interessant,(igen) give udtryk for sin velkendte mening eller tale om et bestemt emne
gnide sig op ad nogen,2,3,ikke være så fornem som de andre; deltage i noget man ikke er egnet til,være påtrængende og indsmigrende
man kan også købe guld for dyrt,2,0,det er ikke besværet værd,"det at blive velhavende kan have for store menneskelige omkostninger, fx tabet af væsentlige åndelige værdier"
passe som fod i hose,1,3,være bedste venner,passe godt; gå meget nemt
tro som guld,0,2,"være usikker, uvidende, dårligt forberedt eller lignende",meget trofast
en gang til for prins Knud,1,0,endnu en gang til ære for en prins ved navn Knud,bruges når man gentager noget eller siger det ekstra tydeligt fordi samtalepartneren er lidt tungt opfattende
så god som dagen er lang,1,3,lige så god som længden på en dag,ualmindelig sød og rar
"de gode græd, og de onde lo",1,0,blive stærkt følelsesmæssigt påvirket af noget,bruges som ironisk kommentar i en situation hvor man beklager at de gode kræfter led nederlag
have både til gården og til gaden,2,1,have nok til alle; have rigelige mængder,have en stor bagdel og en stor barm
have en lille fjer på,1,0,"en persons rigdom eller succes kommer også andre, mindre betydelige personer til gode",være lidt beruset
veje sine ord på en guldvægt,1,3,"være sikker på at det man har skrevet, er korrekt",tænke nøje over hvordan man formulerer sig
have nogen nede i sækken,1,3,få ret i en meningsudveksling eller diskussion,være i klar vinderposition i en sportskamp idet man fuldstændig kontrollerer sin modstander
gå gennem ild og vand,0,1,gennemføre noget der i begyndelsen forekom at være umuligt,gøre alt hvad der står i ens magt
hælde ned ad brættet,1,3,"tippe et bræt så det der ligger på det, falder ned",afvise fuldstændig
give nogen horn i panden,1,0,forstyrre nogen selvom de har frabedt sig det,bedrage en mand ved at have et seksuelt forhold til hans kone
fuglen er fløjet,2,1,en bestemt sag er lukket eller afsluttet,"en bestemt (kriminel, eftersøgt) person er forsvundet"
jokke i spinaten,1,3,træde i en hunds ekskrementer,utilsigtet sige eller gøre noget dumt
ingen kæde er stærkere end det svageste led,1,3,hvis et led i en kæde er svagt er hele kæden svag,selv det bedste er utilstrækkeligt hvis blot en enkelt detalje er mangelfuld
ondt i håret,1,3,utilfreds med sit nyklippede hår eller en ny frisure,ondt i hovedet; tømmermænd
lade en dør stå på klem,2,0,ikke lukke en dør helt i,holde en mulighed åben
fyre kanonen af,3,1,affyre granater eller projektiler fra en kanon,skyde på mål i fodbold eller håndbold; ramme bolden hårdt i boldspil
det muntre køkken,1,3,et køkken hvor der hersker en glad stemning,"bruges om en ustyrlig, meget livlig og evt. ødelæggende aktivitet eller gruppe af personer"
springe over hvor gærdet er lavest,1,2,dér er det egentlige problem,anstrenge sig mindst muligt for at opnå noget; vælge den nemmeste løsning
nogens hjerte springer et slag over,1,3,nogens hjerte slår uregelmæssigt og springer slag over der ellers skulle have været der,"nogen bliver overrumplet af en stærk følelse, fx angst, glæde eller spænding"
over hals og hoved,1,2,bedre end man kunne have forestillet sig,hurtigt og uden tid til forberedelse
slå sig på flasken,0,2,vokse op i et hjem hvor den ene eller begge forældre indtager for meget alkohol,begynde at drikke meget alkohol (regelmæssigt); blive alkoholiker
"mens græsset gror, dør horsemor",3,1,noget må slutte før noget andet kan begynde,noget tager så lang tid at man ikke når det mål man har sat sig
fare i flæsket på,1,0,sikre tegn på en uundgåelig og som regel ugunstig eller farlig udvikling,komme i håndgemæng eller slåskamp med
smide over bord,1,0,"tale hårdt og direkte og med hvasse, kritiske bemærkninger",sætte ud af kraft; kassere
én på torsken,1,0,"man bør ikke tage et nederlag for tungt, lige så lidt som man bør hovere over en sejr",en lussing; et slag i hovedet
spil for galleriet,1,2,opføre sig på en måde så andre opfatter én som selvoptaget og arrogant,"teatralsk eller hyklerisk optræden, især for at behage nogen"
sidde klistret til skærmen,1,2,sidde med hænderne (eller en anden kropsdel) klistret fast til en skærm,være stærkt optaget af at se fjernsyn
kun en tåbe frygter ikke havet,1,2,dumme mennesker er ikke bange for havet,man skal være meget forsigtig når man har med havet at gøre
hvis og hvis min røv var spids,0,1,bruges til at udtrykke at man føler væmmelse ved nogen eller noget,bruges for at afvise samtalepartnerens forbehold og bekymrede forestillinger om fremtiden
vælte læsset,1,2,vælte et læs,forhindre noget i at lykkes; ødelægge noget
stille sig på bagbenene,1,3,kun have vægten på de to bagerste ben -- om et dyr med fire ben,være modvillig eller genstridig; (prøve at) forhindre noget
slag i bolledejen,1,2,"når man ikke vil lytte til andres råd, må man selv bære de ubehagelige konsekvenser","energisk, utraditionel og undertiden provokerende fremgangsmåde, handling eller lignende"
være en spurv i tranedans,1,3,være klodset og uelegant i sine handlinger,ikke være så fornem som de andre; deltage i noget man ikke er egnet til
lukke for det varme vand,1,0,sige sin mening rent ud,ikke ville yde mere af noget
vente på at stegte duer skal flyve ind i munden på én,1,2,utålmodigt vente på at nogen serverer mad for én,vente på eller regne med at livets goder kommer til én uden at man skal yde noget særligt for at opnå dem
gå ud af sit gode skind,0,3,tage alt tøj af så man til sidst er nøgen; afklæde sig alt tøj,"være psykisk ude af balance af vrede, sorg, nervøsitet, irritation, længsel eller lignende"
hu hej vilde dyr,1,0,fra en ubehagelig eller uønsket situation til én der er endnu værre,"bruges for at udtrykke at noget foregår med stor fart, eller at noget haster"
toppen af isbjerget,1,3,en synlig del af noget der ellers ikke kan ses,"en lille del af noget meget større, ofte noget ubehageligt"
kunne bide tungen af sig selv,1,2,kunne tvinge sig selv til at gøre noget ubehageligt,fortryde at have sagt en bestemt bemærkning
gå over åen efter vand,1,2,"vide hvordan et problem løses, eller hvordan noget gøres på den rigtige måde, fx hvordan samfundsgoder eller løn fordeles mest retfærdigt",gøre noget mere besværligt end man behøver; udføre unødvendigt arbejde
gå op i hat og briller,1,0,gå op i hvordan ens hat og briller ser ud,"udvikle sig i en utilsigtet, ofte løssluppen eller komisk retning"
smile i skægget,1,3,have det roligt og hyggeligt; føre sig godt tilpas,more sig på en underfundig eller skadefro måde
"den der graver en grav for andre, falder selv i den",0,2,før eller siden falder man ned i den grav man har gravet for en anden,"den person der lægger planer om at narre eller skade en anden, risikerer selv at blive offer for disse planer"
slå ind på en anden vej,0,3,følge en anden vej end tidligere,"ændre sin tilgang eller måde at agere på i forhold til et bestemt mål, typisk som reaktion på uventede omstændigheder eller for at opnå bedre resultater"
støbe kuglerne,2,3,fremstille ammunition til skydevåben,"være den der udtænker, planlægger og styrer udførelsen af en idé"
have krudt i røven,1,3,gå med pistol eller gevær; være bevæbnet,fare omkring; være meget foretagsom
"når katten er ude, spiller musene på bordet",1,2,"når der ikke umiddelbart er tegn på fare, kan man godt tillade sig at slappe af","undlader man at holde opsyn, fører det til kåd opførsel og uorden"
slå til skaglerne,1,3,skubbe til noget så det vælter,slå sig løs og more sig
vende og dreje hver femøre,1,3,med udstråling af humor og afslappet indstilling,være meget sparsommelig
til den store guldmedalje,0,3,i rigelige mængder; i overmål,"energisk, dygtigt eller med held"
stampe op af jorden,1,3,stampe med fødderne rundt om en genstand så den lidt efter lidt slipper jordunderlaget,"skaffe eller samle til et bestemt formål, ofte hurtigt eller på vanskelige betingelser"
svare i øst når der spørges i vest,1,0,vende sit ansigt væk fra den man taler med,svare på en måde der ikke giver mening i forhold til spørgsmålet
et greb i lommen,1,0,det at gribe ud efter noget i en lomme,en større eller mindre sum penge som nogen har let ved at betale
ikke syv vilde heste kan ..,1,3,færre end man skulle tro kan ..,absolut intet kan ..
